Brand,Product,Rating,Number of ratings,Price,Replacement,Expected delivery,Product availability,Product description,Product link
YAMAHA,YAMAHA FS80C NATURAL CONCERT CUTAWAY GUITAR,3.9 out of 5,45,--,7 Days Replacement,--,,About this item.Made in Yamaha Music India factory.Brand: Yamaha.Stainless Steel.High durability and stability proven by Yamaha's quality standard.Concert body cutaway with comfortable playability for beginners,https://www.amazon.in/YAMAHA-NATURAL-CONCERT-CUTAWAY-GUITAR/dp/B08KW4DRKL/ref=sr_1_65?dchild=1&keywords=guitar&qid=1622443116&sr=8-65
Vault,"Vault Junior 1/2 Size Acoustic Guitar for Kids With Gigbag, Strings, Polishing Cloth, String Winder and Picks",3.9 out of 5,124,"₹ 3,679.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,About this item.Size : 30” Steel Stringed Number of Strings : 6 Colour :Natural.Body shape : Dreadnought (Full bodied) Finish : Natural/Smooth Top Material : Spruce.Back & Sides Material : Basswood Binding Material : Composite Neck Material : Basswood.Fingerboard Inlay: Dots Number of Frets: 22.Tuners:Die-Cast Truss Rod :Dual-action.› See more product details,https://www.amazon.in/Junior-Acoustic-Guitar-Strings-Polishing/dp/B07RMJ88G2/ref=sr_1_66?dchild=1&keywords=guitar&qid=1622443116&sr=8-66
Blueberry,"Blueberry B-D38 38"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Blue)",3.2 out of 5,48,"₹ 2,895.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Material: Top: linden wood, Side & Back: - linden wood, Fingerboard:- ABS.Includes: 38-inch, acoustic guitar with Belt, bag, string set and 2 picks WITH TRUSS ROD.Bridge：ABS, Neck: Catalpa wood, Machine head: Open, Binding: ABS, Finish- Glossy.Truss Rod for better adjustment of Guitar Action , Size 38-inch,Stlye - Cutway, innovative design to produce good quality sound.Note: Product design may slightly vary Due to Photography lighting effect.› See more product details",https://www.amazon.in/Blueberry-B-D38-Acoustic-Inbuilt-Strings/dp/B07PHYZZP1/ref=sr_1_67?dchild=1&keywords=guitar&qid=1622443116&sr=8-67
Scodella,Scodella Guitar 4-String Acoustic Guitar Musical Instrument for Learning (23 Inches)Brown,--,--,--,7 Days Returnable,--,,"About this item.Very Crisp and Clear Sound of Strings.4 String which are tune-able. A very good toy for kids who are willing to learn guitar..The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.The size of the guitar:.No batteries required, this is an unlimited fun toy for kids..› See more product details",https://www.amazon.in/Scodella-4-String-Acoustic-Instrument-Learning/dp/B094N1Z24X/ref=sr_1_68?dchild=1&keywords=guitar&qid=1622443116&sr=8-68
DIKUJI,DIKUJI ENTERPRISE Classical Series Guitar Musical Instrument for Beginners Kids (Small),5 out of 5,1,--,7 Days Replacement,--,,"It improve kids musical skills. Please check sold by Toyvilla.It helps to increase intellectual development for kids..This Guitar Toy is good for Kids only, made of nontoxic ABS Plastic, with wooden finishing..› See more product details",https://www.amazon.in/DIKUJI-ENTERPRISE-Classical-Instrument-Beginners/dp/B0916CXBFS/ref=sr_1_69?dchild=1&keywords=guitar&qid=1622443116&sr=8-69
Belear,"Belear I-280 Couturier Series 38 Inch Black Spruce Cutaway Acoustic Guitar Combo with Gig Bag and Picks, full",1 out of 5,2,"₹ 2,399.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,"In stock on June 17, 2021.
Order it now.","About this item.Premium 38 Inch single cutaway acoustic guitar..Catalpa neck with Rosewood fretboard..Carbon fiber is famous for resonant, tough, and resistant to temperature and humidity changes..Full scale length with easy access to the upper frets..Ultimate versatile guitar is suitable for both experts and beginners..Hand orientation: Ambidextrous",https://www.amazon.in/Belear-I-280-Couturier-Cutaway-Acoustic/dp/B09136LHFM/ref=sr_1_70?dchild=1&keywords=guitar&qid=1622443116&sr=8-70
Kadence,"Kadence Frontier Series Q10 (Hand Rest) Acoustic Guitar (With Equalizer and Pickup) Natural,Die Cast Keys Combo with Bag, 1 pack Strings, Strap and Picks",--,--,"₹ 5,199.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Scale Size(In Inchces):39.Fretboard Material:Rosewood.Bridge Material:Rosewood.Body material:Spruce Wood, with Handrest.Package Details:1 pack of Strings, bag, strap and picks.› See more product details",https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Natural/dp/B094Y9NDWM/ref=sr_1_71?dchild=1&keywords=guitar&qid=1622443116&sr=8-71
Belear,"Belear I-280 Couturier Series 38 Inch Brown Spruce Cutaway Acoustic Guitar with Truss Rod Combo with Gig Bag and Picks, full",--,--,"₹ 2,999.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Premium single-cutaway design for playing convenience..Solid Spruce top provides an ideal balance and between strength and flexibility..Catalpa neck, Rosewood fretboard with truss rod..Offers bright, responsive & balanced tone..Comfortable playability for beginners..Hand orientation: Ambidextrous.Neck material type: Catalpa Wood",https://www.amazon.in/Belear-I-280-Couturier-Cutaway-Acoustic/dp/B09132VBN9/ref=sr_1_72?dchild=1&keywords=guitar&qid=1622443116&sr=8-72
Divinext,Divinext Audio Interface AMP Guitar Effects Pedal for iPhone/iPad,3.9 out of 5,105,₹ 749.00,7 Days Replacement Only,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"Guitar adapter is a combination of an easy-to-use instrument interface adapter and guitar and bass tone mobile software.Download the AmpliTube app from the iTunes App Store.2. Plug the adapter into the headphone jack of your iPhone, iPod and iPad.3. Plug your guitar or bass into the adapter 1/4 jack.4. Plug your headphones or external speakers into the adapter headphone jack.5. Now launch AmpliTube and start rocking.Also works with line level signals from synthesizers, keyboards, mixers.Output can be connected to headphones, amplifiers, powered speakers, mixers.Size: 7 x 2 x 2 cm, Color: Black, Package includes: 1 x guitar interface adapter.› See more product details",https://www.amazon.in/Divinext-Interface-Guitar-Effects-iPhone/dp/B07RT3FHZT/ref=sr_1_73?dchild=1&keywords=guitar&qid=1622443116&sr=8-73
KINDRED™,"KINDRED™ Musical Guitar,4-String Musical Instrument Learning Toy,Children's Educational Musical Instrument Toy for Kids, Child for Learning with Brown Color Best Gift for Boys & Girls (18 Inches)",--,--,--,7 Days Replacement,--,,"The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.This acoustic guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance. this is not a professionally manufactured guitar, just a toy for children. recommended for ages above 6 years.Functional guitar with tuning keys and playable..4 String which are tune-able. A very good toy for kids who are willing to learn guitar..A perfect gift: Helps kids have fun and stimulate and develop their talent & interest..› See more product details",https://www.amazon.in/KINDREDTM-4-String-Instrument-Childrens-Educational/dp/B0925PV8FD/ref=sr_1_74?dchild=1&keywords=guitar&qid=1622443116&sr=8-74
JATU,JATU STORE String Acoustic Guitar | Adjustable Tunning Knob | Classical Guitar Toy | Musical Instrument Learning Toy for Kids,--,--,--,7 Days Replacement,--,,"About this item.Toy Guitar is a Great Creativity for little Kids and increase musical talent in your young rock star. Teaches Kids the basics of rhythm, tempo, strumming and create the worlds of Music for your Kids..It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes..This guitar has good sound quality and good wooden finishing it is made up of good quality plastic and is good for playing and learning..This acoustic guitar makes a great gift for kids and is a great value for the money..This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes..› See more product details",https://www.amazon.in/JATU-STORE-Adjustable-Classical-Instrument/dp/B08NYP9N5T/ref=sr_1_75?dchild=1&keywords=guitar&qid=1622443116&sr=8-75
UGAMEDI,UGAMEDI Guitar 4-String Acoustic Guitar Musical Instrument for Learning (23 Inches)Brown,--,--,--,7 Days Returnable,--,,"About this item.Very Crisp and Clear Sound of Strings.4 String which are tune-able. A very good toy for kids who are willing to learn guitar..The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.The size of the guitar:.No batteries required, this is an unlimited fun toy for kids..› See more product details",https://www.amazon.in/UGAMEDI-4-String-Acoustic-Instrument-Learning/dp/B093XXCRPY/ref=sr_1_76?dchild=1&keywords=guitar&qid=1622443116&sr=8-76
FIRANDE,FIRANDE Acoustic Guitar MF38C SunBurst 38 Inch Cutaway With Seasoned Basswood And Engineered Rosewood,--,--,--,7 Days Replacement,--,,About this item.Guitar Top: Seasone Basswood for great tone and withstanding indian temperatures..Guitar back and sides: A grade agathis (a great reflector of sound to give rich tone).Fretboard and Bridge: Engineered rosewood.› See more product details,https://www.amazon.in/FIRANDE-Acoustic-SunBurst-Seasoned-Engineered/dp/B093D79HHG/ref=sr_1_77?dchild=1&keywords=guitar&qid=1622443116&sr=8-77
Giuson,"Giuson Venus Natural Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks V4",3 out of 5,2,"₹ 3,790.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.41 inch Cut-A-Way Acoustic Guitar, Fret board: Rose Wood, String : Steel.Great looks with an innovative design to produce good quality sound.Adjustable bridge and reinforced Truss Rod.Inbuilt pick up to plug and play with amplifier, Bag,Strap,1 Set of Extra Strings and 2 Picks included.100% Genuine Product Sold by K-Retail.› See more product details",https://www.amazon.in/Giuson-Venus-Natural-Acoustic-Strings/dp/B08T3BSX2C/ref=sr_1_78?dchild=1&keywords=guitar&qid=1622443116&sr=8-78
Kadence,"Kadence Frontier Series,Black Acoustic Guitar With Die Cast Keys Combo (Bag,strap,strings and 3 picks)",3.8 out of 5,425,"₹ 4,899.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Product Type : Acoustic Guitar.Brand:Kadence,Fretboard material:Rosewood,Number of strings:6.Type:Acoustic Guitar,Body material:Spruce Wood.String Type : Roundwound Strings,String Gauge : Stainless Steel",https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B01CJJG328/ref=sr_1_79?dchild=1&keywords=guitar&qid=1622443116&sr=8-79
SG,SG Musical Acoustic Guitar Steel Silver 6 pcs. Set String BYTD,--,--,--,7 Days Replacement,--,,"Plain, light, guitar strings offer easier playability (compared to heavier-weight strings); ideal for beginners and lead guitar solos.Type: Acoustic.Material: Silver.Brand : SG Musical.Quality Product | 100% Satisfaction.› See more product details",https://www.amazon.in/SG-Musical-Acoustic-Guitar-Silver/dp/B095JTJ4ZN/ref=sr_1_80?dchild=1&keywords=guitar&qid=1622443116&sr=8-80
Ibanez,Ibanez MD39C-NT Acoustic Guitar (Natural),4.3 out of 5,236,"₹ 7,147.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,About this item.Type - acoustic guitar with cutaway.Fingerboard material - rosewood.Top - spruce.Number of frets - 20.Number of strings - 6,https://www.amazon.in/Ibanez-IBA-MD39CNT-Acoustic-Guitar-MD39C-NT/dp/B07G4CCMYL/ref=sr_1_81?dchild=1&keywords=guitar&qid=1622443116&sr=8-81
Portible,Portible String Acoustic Guitar | Adjustable Tunning Knob | Classical Guitar Toy | Musical Instrument Learning Toy for Kids,--,--,--,7 Days Returnable,--,,"This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance..Helps kids have fun and stimulate and develop their talent & interest. This Guitar Is 24 Inches In Length..4 String which are tune-able. A very good toy for kids who are willing to learn guitar..Great for beginners: It has a traditional classic body style great for beginners and children learning to play guitar. Give your best performance whether you're in the music studio or out at a bonfire with friends. Take your music with you..The mini guitar can attract the interests of kids, and reduce their dependency on the phone, computer, or other electronics..› See more product details",https://www.amazon.in/Portible-Acoustic-Adjustable-Classical-Instrument/dp/B094ZTN8QB/ref=sr_1_82?dchild=1&keywords=guitar&qid=1622443116&sr=8-82
KB,"KB 4-string acoustic guitar learning kids toy, brown 18-Multi color",--,--,--,7 Days Replacement,--,,"About this item.Very Crisp and Clear Sound of Strings.This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning..It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes..Helps kids have fun and stimulate and develop their talent & interest.This Guitar Is 24 Inches In Length..This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.Recommended for ages above 6 years..› See more product details",https://www.amazon.in/KB-4-string-acoustic-learning-18-Multi/dp/B094VMZ21B/ref=sr_1_83?dchild=1&keywords=guitar&qid=1622443116&sr=8-83
Kordz,"Kordz 150 Blue Matt Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks V3",--,--,"₹ 3,450.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Fret board: Rose Wood, String : Steel.Great looks with an innovative design to produce good quality sound.Adjustable bridge and reinforced Truss Rod.Inbuilt pick up to plug and play with amplifier, Bag,Strap,1 Set of Extra Strings and 2 Picks included.100% Genuine Product Sold by K-Retail.› See more product details",https://www.amazon.in/Kordz-150-Rosewood-Fretboard-Acoustic/dp/B08T38KLSF/ref=sr_1_84?dchild=1&keywords=guitar&qid=1622443116&sr=8-84
SG,SG MUSICAL Acoustic Guitar Strings with Stainless Steel E-1st B-2nd G-3rd D-4th A-5th E-6th BYTD,--,--,--,7 Days Replacement,--,,"Plain, light, guitar strings offer easier playability (compared to heavier-weight strings); ideal for beginners and lead guitar solos.Type: Acoustic.Material: Silver.Brand : SG Musical.Quality Product | 100% Satisfaction.› See more product details",https://www.amazon.in/SG-MUSICAL-Acoustic-Strings-Stainless/dp/B095JSNW7W/ref=sr_1_85?dchild=1&keywords=guitar&qid=1622443116&sr=8-85
KEYCHAINEX,KEYCHAINEX WORLD Children Guitar Toys Classic Education Entertainment with Pick Strings Musical Instruments Toy Gift String Acoustic Adjustable Tuning Knob Classical Instrument Learning for Kids,--,--,--,7 Days Replacement,--,,"About this item.💖 Toy Guitar is a Great Creativity for little Kids and increase musical talent in your young rock star. Teaches Kids the basics of rhythm, tempo, strumming and create the worlds of Music for your Kids..💖 It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes..💖 This guitar has good sound quality and good wooden finishing it is made up of good quality plastic and is good for playing and learning..💖 This acoustic guitar makes a great gift for kids and is a great value for the money..💖 This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes..› See more product details",https://www.amazon.in/KEYCHAINEX-Guitar-Entertainment-Instruments-Adjustable/dp/B08Z47WXDR/ref=sr_1_86?dchild=1&keywords=guitar&qid=1622443116&sr=8-86
Acoustic,"Acoustic (Spanish) Guitar with Cover, Belt, Pick (All Accessories)",--,--,"₹ 3,749.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,,https://www.amazon.in/Acoustic-Spanish-Guitar-Cover-Accessories/dp/B095PY3DLJ/ref=sr_1_87?dchild=1&keywords=guitar&qid=1622443116&sr=8-87
SG,SG MUSICAL 5 Pcs Silver Tone Steel Strings E-1 for Acoustic Guitar Accessories BYTD,--,--,--,7 Days Replacement,--,,"Plain, light, guitar strings offer easier playability (compared to heavier-weight strings); ideal for beginners and lead guitar solos.Type: Acoustic.Material: Silver.Brand : SG Musical.Quality Product | 100% Satisfaction.› See more product details",https://www.amazon.in/SG-MUSICAL-Strings-Acoustic-Accessories/dp/B095JVB111/ref=sr_1_88?dchild=1&keywords=guitar&qid=1622443116&sr=8-88
JUAREZ,"JUAREZ Fiésta 41 Inch Acoustic Guitar Cutaway with Dual Action Truss Rod, 21 Frets Rosewood Fretboard & Bridge, Padded 5mm Cotton Bag, Cotton Strap, 2 Picks, Allen Key, Extra String Set, Black",3.7 out of 5,25,"₹ 4,009.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Glossy finish, Number of frets - 21, 41 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped..Material : Top, Back, Sides - Linden Solid Wood, Neck - Catalpa, Fretboard & Bridge - Rosewood, Machine Head : Chrome Open, Stainless Steel Copper Wound Strings.Linden binding and full wood construction with geared tuning, wooden frame and Alice Brand Stainless steel copper alloy strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between!.Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod..6 Stainless Steel Alice Brand strings especially for beginners. Wound strings are made of copper alloy. Stainless steel plain string, steel core, copper alloy winding, anti-rust coating. (Additional Free Strings are NOT ALICE Brand, Strings on the Guitar are Alice Strings).Heavy Duty 5mm Cotton Padded Guitar Bag and Premium Cotton Guitar Strap provided along with your Juarez Fiésta 41 Inch Acoustic Guitar.Included components: Acoustic Guitar with Strap, Bag, Strings, Truss Rod Wrench/Allen Key and 2 Plectrums",https://www.amazon.in/JUAREZ-Acoustic-Cutaway-Rosewood-Fretboard/dp/B08GZZ6SQ2/ref=sr_1_89?dchild=1&keywords=guitar&qid=1622443116&sr=8-89
PRIMIL,PRIMIL 4 String Guitar Children's Musical Instrument Educational Toy Guitar Ukulele Instruments Beginner Musical Sound Toys Best Gift for Children,--,--,--,7 Days Replacement,--,,"About this item.Very Crisp and Clear Sound of Strings..It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes..This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning..Helps kids have fun and stimulate and develop their talent & interest. This Guitar Is 18 Inches In Length..This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children. Recommended for ages above 6 years..› See more product details",https://www.amazon.in/PRIMIL-Childrens-Instrument-Educational-Instruments/dp/B08WLT91VJ/ref=sr_1_90?dchild=1&keywords=guitar&qid=1622443116&sr=8-90
FIRANDE,"FIRANDE Arpeggio 39 Inch Semi-Acoustic Guitar, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, 4 Band EQ, Chrome Die Cast Machine Tuners, Sunburst",--,--,--,7 Days Replacement,--,,"Arpeggio 39 Inch Semi-Acoustic Guitar Kit, Spruce Top, Rosewood Fretboard & Bridge, Truss Rod, 4 Band EQ, Chrome Die Cast Machine Tuners, Sunburst.› See more product details",https://www.amazon.in/FIRANDE-Arpeggio-Semi-Acoustic-Rosewood-Fretboard/dp/B093D7BF54/ref=sr_1_91?dchild=1&keywords=guitar&qid=1622443116&sr=8-91
SG,SG MUSICAL Acoustic Guitar Strings | guitar string pack of 6 best quality guitar strings | BYTD,--,--,--,7 Days Replacement,--,,"Plain, light, guitar strings offer easier playability (compared to heavier-weight strings); ideal for beginners and lead guitar solos.Type: Acoustic.Material: Silver.Brand : SG Musical.Quality Product | 100% Satisfaction.› See more product details",https://www.amazon.in/SG-MUSICAL-Acoustic-Strings-quality/dp/B095JQC3VC/ref=sr_1_92?dchild=1&keywords=guitar&qid=1622443116&sr=8-92
Acoustic,"Acoustic (Spanish) Guitar with Cover, Belt, Pick (All Accessories)",--,--,"₹ 3,749.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,Only 2 left in stock.,,https://www.amazon.in/Acoustic-Spanish-Guitar-Cover-Accessories/dp/B095PTCYYD/ref=sr_1_93?dchild=1&keywords=guitar&qid=1622443116&sr=8-93
Flexible,"Flexible 21Inch Wood Hawaii Kids Guitar, Mini Guitar Ukulele Toy, for Beginner Children Boys and Girls(Purple Elf)",--,--,"₹ 1,719.00",10 Days Returnable,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,Only 2 left in stock.,"Ukulele has elegant tone, easy to learn, with very rich tone and expression..The natural and unrestrained playing can add personal charm, which is deeply loved by the youth..Touch the strings, you will be full of youthful breath, like being in nature..Not only express euphemistic and moving murmur, but also express the majestic and heroic spirit, let a number of people dream..The light melody, playing the relaxing music, can express the joy and sorrow, and can cultivate the solemn and graceful charm of temperament..Warranty not applicable for this product",https://www.amazon.in/Flexible-21Inch-Ukulele-Beginner-Children/dp/B07TJV7K2P/ref=sr_1_94?dchild=1&keywords=guitar&qid=1622443116&sr=8-94
HYMET,"HYMET 4-String Acoustic Guitar Learning Kids Toy, Brown 23"" (Brown)",2 out of 5,1,--,7 Days Returnable,--,,About this item.4 Strings wooden finish guitar with adjustable tuning knobs..Good sound with good wooden finish in quality plastic material..Functional guitar with tuning keys and playable..Kids can have fun and learn music..Designs & Colors can vary as per the availability..› See more product details,https://www.amazon.in/HYMET-4-String-Acoustic-Guitar-Learning/dp/B093QDX9MR/ref=sr_1_95?dchild=1&keywords=guitar&qid=1622443116&sr=8-95
S.N.,"S.N. SHEELABEN ENTERP AccessoriesRISE 23"" 4 String Decor Guitar Children's Musical Instrument Educational Toy Small Guitar for Beginners Kids Child - 23Inch",3.8 out of 5,3,--,7 Days Replacement,--,,"About this item.4 String which are tune-able. A very good toy for kids who are willing to learn guitar..The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.The size of the guitar: 23inch.This acoustic guitar makes a great gift for kids lightweight, easy to has a nice appearance this is not a professionally manufactured guitar, just a toy for children recommended for ages above 6 years.Made from high quality abs materials, non-toxic paints, safer for children.› See more product details",https://www.amazon.in/S-N-SHEELABEN-AccessoriesRISE-Instrument-Educational/dp/B08PSCPGBG/ref=sr_1_96?dchild=1&keywords=guitar&qid=1622443116&sr=8-96
HYMET,"HYMET 4-String Acoustic Guitar Learning Kids Toy, Brown 23"" (Brown)",2 out of 5,1,--,7 Days Returnable,--,,About this item.4 Strings wooden finish guitar with adjustable tuning knobs..Good sound with good wooden finish in quality plastic material..Functional guitar with tuning keys and playable..Kids can have fun and learn music..Designs & Colors can vary as per the availability..› See more product details,https://www.amazon.in/HYMET-4-String-Acoustic-Guitar-Learning/dp/B093QDX9MR/ref=sr_1_97?dchild=1&keywords=guitar&qid=1622444162&sr=8-97
JUAREZ,"JUAREZ 41"" Acoustic Guitar Cutaway with Dual Action Truss Rod, Rosewood Fretboard and Bridge, Padded Cotton Bag, Cotton Strap, 2 Picks, Extra String Set, Blue Sunburst",3.8 out of 5,13,"₹ 3,001.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Glossy finish, Number of frets - 21, 41 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped..Material : Top, Back, Sides - Linden Solid Wood, Neck - Catalpa, Fretboard & Bridge - Rosewood, Machine Head : Chrome Open, Stainless Steel Copper Wound Strings.Linden binding and full wood construction with geared tuning, wooden frame and Alice Brand Stainless steel copper alloy strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between!.Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod..6 Stainless Steel Alice Brand strings especially for beginners. Wound strings are made of copper alloy. Stainless steel plain string, steel core, copper alloy winding, anti-rust coating. (Additional Free Strings are NOT ALICE Brand, Strings on the Guitar are Alice Strings).Heavy Duty 5mm Cotton Padded Guitar Bag and Premium Cotton Guitar Strap provided along with your Juarez Fiésta 41 Inch Acoustic Guitar.Included components: Acoustic Guitar with Strap, Bag, Strings, Truss Rod Wrench/Allen Key and 2 Plectrums",https://www.amazon.in/JUAREZ-Acoustic-Rosewood-Fretboard-Sunburst/dp/B08GZX3B1X/ref=sr_1_98?dchild=1&keywords=guitar&qid=1622444162&sr=8-98
SG,SG MUSICAL Acoustic Guitar Strings | guitar string pack of 6 best quality guitar strings | BYTD,--,--,--,7 Days Replacement,--,,"Plain, light, guitar strings offer easier playability (compared to heavier-weight strings); ideal for beginners and lead guitar solos.Type: Acoustic.Material: Silver.Brand : SG Musical.Quality Product | 100% Satisfaction.› See more product details",https://www.amazon.in/SG-MUSICAL-Acoustic-Strings-quality/dp/B095JQC3VC/ref=sr_1_99?dchild=1&keywords=guitar&qid=1622444162&sr=8-99
Acoustic,"Acoustic (Spanish) Guitar with Cover, Belt, Pick (All Accessories)",--,--,"₹ 3,749.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,Only 2 left in stock.,,https://www.amazon.in/Acoustic-Spanish-Guitar-Cover-Accessories/dp/B095PTCYYD/ref=sr_1_100?dchild=1&keywords=guitar&qid=1622444162&sr=8-100
Blueberry,"Blueberry 38C IN TrussRod Acoustic Guitar Kit with Bag, Belt & Picks (Black)",3.1 out of 5,4,"₹ 2,895.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Material: Top: Spruce wood, Side & Back: - linden wood, Fingerboard:- Rosewood Wood.Bridge：Rosewood, Neck: Catalpa wood, Machine head: Chrome die cast, Finish: Mat Finish.Truss Rod for better adjustment of Guitar Action , Size 38-inch,Style - Cut-way, innovative design to produce good quality sound.Includes: 38"", Acoustic guitar with Belt, bag, and 2 picks.Note: Product design may slightly vary Due to Photography lighting effect",https://www.amazon.in/Blueberry-TrussRod-Acoustic-Guitar-Picks/dp/B08WH6ZHZR/ref=sr_1_101?dchild=1&keywords=guitar&qid=1622444162&sr=8-101
Flexible,"Flexible 21Inch Wood Hawaii Kids Guitar, Mini Guitar Ukulele Toy, for Beginner Children Boys and Girls(Purple Elf)",--,--,"₹ 1,719.00",10 Days Returnable,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,Only 2 left in stock.,"Ukulele has elegant tone, easy to learn, with very rich tone and expression..The natural and unrestrained playing can add personal charm, which is deeply loved by the youth..Touch the strings, you will be full of youthful breath, like being in nature..Not only express euphemistic and moving murmur, but also express the majestic and heroic spirit, let a number of people dream..The light melody, playing the relaxing music, can express the joy and sorrow, and can cultivate the solemn and graceful charm of temperament..Warranty not applicable for this product",https://www.amazon.in/Flexible-21Inch-Ukulele-Beginner-Children/dp/B07TJV7K2P/ref=sr_1_102?dchild=1&keywords=guitar&qid=1622444162&sr=8-102
ASHICHIPRO,"ASHICHIPRO 6-String Wooden Acoustic Musical Instrument Learning Guitar Toy for Kids 24"" Brown Classical",--,--,"₹ 1,349.00",7 Days Returnable,"FREE delivery: Saturday, June 5 Details",In stock.,"About this item.* Stylish Classic Guitar Produces Vibrant Sounds, Guitar Strings Are Tunable, String Tuning Mechanism Keeps Tuned Strings Tight..* It Is Fully Functional With All The Tuning Keys And Playable. This Children's Sized Acoustic Guitar Toy Is Ideal For Children To Get The Correct Posture And Learn How To Play Different Notes..* This Guitar Has Good Sound Quality It's Very Clear. And The Strings Are Good Quality. Good Wooden Finishing, It Is Made Up Of Good Quality Plastic & Is Good For Playing And Learning..* This Acoustic Guitar Makes A Great Gift For Kids. Lightweight, Easy To Hold, And Has A Nice Appearance, This Is Not A Professionally Manufactured Guitar, Just A Toy For Children..* This Guitar Is Lightweight And Portable And Comes With Strap So That Your Future Rock Star Can Handle It Easily While Performing..› See more product details",https://www.amazon.in/ASHICHIPRO-6-String-Acoustic-Instrument-Classical/dp/B093BZ4DY9/ref=sr_1_103?dchild=1&keywords=guitar&qid=1622444162&sr=8-103
