Brand,Product,Rating,Number of ratings,Price,Replacement,Expected delivery,Product availability,Product description,Product link
Acoustic,"Acoustic Guitar, 39 Inch Cutaway, 039C with Bag, Strings, Pick and Strap, Random Colour",--,--,--,Non-Returnable,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"This is a Vegetarian product..Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks.Great looks with an innovative design to produce good quality sound.Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway.Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks.Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/Acoustic-Guitar-Cutaway-Strings-Strap/dp/B08NTC4KG4/ref=sr_1_45?dchild=1&keywords=guitar&qid=1622442031&sr=8-45
I,I Mogal Enterprise Guitar 4-String Acoustic Guitar Musical Instrument for Learning (23 Inches)Brown,--,--,₹ 799.00,7 Days Returnable,"FREE delivery: Saturday, June 5 Details",In stock.,"About this item.Very Crisp and Clear Sound of Strings.4 String which are tune-able. A very good toy for kids who are willing to learn guitar..The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.The size of the guitar:.No batteries required, this is an unlimited fun toy for kids..› See more product details",https://www.amazon.in/Enterprise-4-String-Acoustic-Instrument-Learning/dp/B0953QD3LC/ref=sr_1_46?dchild=1&keywords=guitar&qid=1622442031&sr=8-46
JUAREZ,"JUAREZ 41 INCH GUITAR JRZ41VG/BK, BLACK",3.2 out of 5,7,"₹ 3,329.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.JUAREZ 41 INCH GUITAR JRZ41VG/BK, BLACK.Stainless Steel string.Adjustable Guitar bridge.Guitar Pickup Configuration- MIDI",https://www.amazon.in/JUAREZ-GUITAR-JRZ41VG-BK-BLACK/dp/B08MWB6TG7/ref=sr_1_47?dchild=1&keywords=guitar&qid=1622442031&sr=8-47
OOM,OOM AKSHAR 4 String Decor Guitar Children's Musical Instrument Educational Toy Small Guitar for Beginners Kids Child - 23Inch,--,--,₹ 849.00,7 Days Replacement,"FREE delivery: Saturday, June 5 Details",In stock.,"The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.The size of the gitars for boys: 23 inch.This acoustic guitar makes a great gift for kids lightweight, easy to holdand has a nice appearance this is not a professionally manufactured guitar, just a toy for children recommended for ages above 6 years.gitars for girls has Made from high quality abs materials, non-toxic paints, safer for children.› See more product details",https://www.amazon.in/OOM-AKSHAR-Childrens-Instrument-Educational/dp/B092DTYHR5/ref=sr_1_48?dchild=1&keywords=guitar&qid=1622442031&sr=8-48
Belear,"Belear I-280 Couturier Series 38 Inch Blue Spruce Cutaway Acoustic Guitar Combo with Gig Bag and Picks, full",--,--,"₹ 2,399.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,Only 1 left in stock.,"About this item.Premium 38 Inch single cutaway acoustic guitar..Top, back, and sides are made from Carbon fiber..Catalpa neck with Rosewood fretboard..Carbon fiber is famous for resonant, tough, and resistant to temperature and humidity changes..Full scale length with easy access to the upper frets..Hand orientation: Ambidextrous.Neck material type: Catalpa Wood",https://www.amazon.in/Belear-I-280-Couturier-Cutaway-Acoustic/dp/B09135Y69M/ref=sr_1_49?dchild=1&keywords=guitar&qid=1622443116&sr=8-49
Juarez,"Juarez JRZ-ST01, 6 Strings Electric Guitar, Right Handed with Bag/Case, 2 x Picks (3TS Sunburst)",4.1 out of 5,173,"₹ 5,450.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Black Glossy Finish, Number of Frets: 18, Acoustic Guitar with strap, Bag, Strings and 2 Picks.Great looks with an innovative design to produce good quality sound.Finger board: Linden Wood, Fretboard - Ebony Wood, Size: 38 inches, Cutaway.Included components: Acoustic Guitar with strap, Bag, Strings and 2 Picks.Linden Binding and Full Wood Construction with Geared Tuning, Wood Frame and Steel Strings",https://www.amazon.in/JRZ-ST01-6-String-Electric-Sunburst-Without/dp/B01FYZSOEE/ref=sr_1_50?dchild=1&keywords=guitar&qid=1622443116&sr=8-50
DOMENICO,DOMENICO Guitar 4-String Acoustic Guitar Musical Instrument For Learning (23 Inches),3 out of 5,19,₹ 799.00,7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Very Crisp and Clear Sound of Strings.This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning..It is fully Functional With All The tuning keys and playable. This Acoustic Guitar is ideal for beginners to get the correct posture and learn how to play different notes..have fun and stimulate and develop their talent & interest.This Guitar Is 22 Inches In Length..Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar.Recommended for ages above 6 years..› See more product details",https://www.amazon.in/DOMENICO-4-String-Acoustic-Instrument-Learning/dp/B08MWS47RM/ref=sr_1_51?dchild=1&keywords=guitar&qid=1622443116&sr=8-51
JUAREZ,"JUAREZ 38 Inch Acoustic Guitar with Dual Action Truss Rod, Bag, Picks, Allen Key, Extra String Set, Natural",3 out of 5,20,"₹ 3,179.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Glossy finish, Number of frets - 18, 38 Inch Acoustic Guitar with Dual Action Truss Rod which gives you the liberty to adjust the action of your neck in either direction if warped.Material : Top, Back, Sides & Neck - Linden Solid Wood, Fretboard & Bridge - ABS, Machine Head : Chrome Open, Stainless Steel Copper Wound Strings.Linden binding and full wood construction with geared tuning, wooden frame and steel strings. Features a sturdy top with smooth curves, promoting comfort during playing. This solid wood produces a smooth and rich sound ideal for rock, folk, country, and every genre in between.Loosening a truss rod (turning counter-clockwise) adds relief to (decreases tension on) the neck which results in increased (higher) string action height. This reduces relief, lowering the string action (height of the strings over the frets). Turn the nut clockwise to tighten the rod.Included components: Acoustic Guitar with Strap, Bag, Strings, Truss Rod Wrench/Allen Key and 2 Plectrums",https://www.amazon.in/JUAREZ-Acoustic-Guitar-Action-Natural/dp/B08FV4GPWY/ref=sr_1_52?dchild=1&keywords=guitar&qid=1622443116&sr=8-52
SAAN,SAAN Life Science 4-string Small Acoustic Guitar Musical Instrument Educational Learning kids Toy for Beginners - 23Inch,4.3 out of 5,6,--,7 Days Replacement,--,,"4 String which are tune-able. A very good toy for kids who are willing to learn guitar..The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.This acoustic guitar makes a great gift for kids lightweight, easy to holdand has a nice appearance this is not a professionally manufactured guitar, just a toy for children recommended for ages above 6 years.The size of the guitar: 23inch.Made from high quality abs materials, non-toxic paints, safer for children.› See more product details",https://www.amazon.in/SAAN-Life-Science-Instrument-Educational/dp/B08QFQRRYV/ref=sr_1_53?dchild=1&keywords=guitar&qid=1622443116&sr=8-53
Intern,"Intern INT-38C Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Natural",3.6 out of 5,442,"₹ 2,847.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.Great looks with an innovative design to produce good quality sound.Material: Linden wood finger board with ebony wood fretboard and 38-inch cutaway design.Natural glossy finish with 18 frets.Includes: 38-inch acoustic guitar with strap, bag, string set and 3 picks.Linden binding and full wood construction with geared tuning, wood frame and steel strings",https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Natural/dp/B073B4D22T/ref=sr_1_54?dchild=1&keywords=guitar&qid=1622443116&sr=8-54
